Test_Date,Maturity,Base Yield,Mean Reversion,Level Up,Level Down,Twist Up-to-Down,Twist Down-to-Up
2018-04-06,1.0,-0.001339553860430101,-0.0014662885467656495,9.093419009771706e-06,-0.0026882011398699735,-0.00033248753689049367,-0.002346620183969708
2018-04-06,2.0,-0.0021015834576772,-0.0017022153104237648,0.0006483146054328936,-0.004851481520787294,-0.0003954749024881175,-0.003807692012866283
2018-04-06,3.0,-0.002312088415600579,-0.0014775392942619405,0.0015608766757117093,-0.006185053506912867,-0.00023319980242633102,-0.004390977028774827
2018-04-06,4.0,-0.0021598916969441523,-0.0009634060571837432,0.0026190422610520552,-0.00693882565494036,6.887746757481801e-05,-0.004388660861463122
2018-04-06,5.0,-0.0017777423751428312,-0.0002785533101829882,0.0037370284740464573,-0.00729251322433212,0.00045165698420683944,-0.004007141734492502
2018-04-06,6.0,-0.0012580817054685595,0.0004957149757015443,0.0048586043685292825,-0.007374767779466402,0.0008748395242020957,-0.003391002935139215
2018-04-06,7.0,-0.0006644947007047045,0.0013046929834852404,0.00594818592040167,-0.007277175321811078,0.0013114609114321736,-0.002640450312841583
2018-04-06,8.0,-4.0009812247349406e-05,0.002112453301212087,0.00698446702272409,-0.00706448664721879,0.0017439514698621918,-0.0018239710943568905
2018-04-06,9.0,0.0005869009502455161,0.0028962213946815067,0.007955885283232171,-0.006782083382741139,0.002161304398694686,-0.0009875024982036536
2018-04-06,10.0,0.0011979971253084378,0.003642343632765779,0.008857411944177255,-0.00646141769356038,0.0025570489368148615,-0.0001610546861979859
2018-04-06,11.0,0.001782163240740405,0.0043434102284004026,0.009688294581966404,-0.006123968100485594,0.0029278063306231554,0.0006365201508576545
2018-04-06,12.0,0.0023331865905112247,0.0049962131940641,0.010450483038368185,-0.005784109857345737,0.0032722667949750114,0.001394106386047438
2018-04-06,13.0,0.0028481754790917377,0.005600306344491164,0.011147543316670705,-0.005451192358487228,0.003590469698624998,0.0021058812595584776
2018-04-06,14.0,0.0033264401144030044,0.006156997968496084,0.011783918311730536,-0.005131038082924528,0.003883301407153045,0.002769578821652964
2018-04-06,15.0,0.00376870669034422,0.0066686532555156495,0.012364433639382711,-0.004827020258694272,0.004152148734880774,0.003385264645807666
2018-04-06,16.0,0.004176570572551522,0.007138217472395195,0.012893975454464909,-0.004540834309361866,0.004398663112827777,0.003954478032275267
2018-04-06,17.0,0.004552120345666879,0.007568895600709566,0.013377287905164499,-0.004273047213830742,0.004624603076365596,0.004479637614968161
2018-04-06,18.0,0.004897683339917031,0.007963942130618951,0.013818852894169145,-0.0040234862143350815,0.004831731764765792,0.00496363491506827
2018-04-06,19.0,0.00521565699773461,0.008326527773525407,0.014222825662830282,-0.0037915116673610605,0.005021752722910163,0.005409561272559057
2018-04-06,20.0,0.0055084004396496015,0.008659659329581161,0.014593007522923888,-0.003576206643624685,0.005196272075683348,0.0058205288036158554
2018-04-06,21.0,0.005778167849739427,0.008966135799705942,0.014932842664117235,-0.003376506964638381,0.005356778600694375,0.006199557098784479
2018-04-06,22.0,0.006027070563048252,0.009248528777027837,0.015245429971349082,-0.0031912888452525793,0.005504635715540752,0.0065495054105557515
2018-04-06,23.0,0.006257058541736288,0.00950917871021835,0.015533543637645864,-0.0030194265541732867,0.005641081185452533,0.006873035898020043
2018-04-06,24.0,0.006469914669514911,0.00975020118146388,0.015799658376530135,-0.002859829037500313,0.005767231638359049,0.0071725977006707724
2018-04-06,25.0,0.006667257264976144,0.009973499162432795,0.016045976458147218,-0.00271146192819493,0.0058840898876427435,0.007450424642309544
2018-04-06,26.0,0.006850547625489985,0.010180778504911888,0.016274454784253534,-0.002573359533273565,0.005992553710381881,0.007708541540598088
2018-04-06,27.0,0.007021100418953911,0.010373564836066168,0.016486830902103667,-0.0024446300641958454,0.00609342518514238,0.007948775652765442
2018-04-06,28.0,0.007180095453457731,0.010553220668522462,0.016684647324728605,-0.0023244564178131442,0.006187420012382012,0.00817277089453345
2018-04-06,29.0,0.007328589856825191,0.010720961980287455,0.01686927383898002,-0.0022120941253296385,0.006275176461425225,0.008382003252225156
2018-04-06,30.0,0.007467530048541372,0.010877873825036941,0.0170419276888712,-0.0021068675917884586,0.006357263739058033,0.008577796358024713
2018-04-06,31.0,0.007597763128928634,0.011024924740088997,0.017203691652968353,-0.0020081653951110837,0.006434189676490756,0.008761336581366512
2018-04-06,32.0,0.007720047475809921,0.011162979856575293,0.017355530114233717,-0.0019154351626138764,0.00650640769841689,0.00893368725320295
2018-04-06,33.0,0.007835062449816816,0.011292812704883061,0.017498303265347886,-0.0018281783657142538,0.006574323080673684,0.009095801818959949
2018-04-06,34.0,0.007943417182157901,0.011415115763312717,0.017632779613801934,-0.0017459452494861302,0.006638298529086083,0.00924853583522972
2018-04-06,35.0,0.008045658464669437,0.011530509829723035,0.017759646957105107,-0.0016683300277662311,0.0066986591267781444,0.00939265780256073
2018-04-06,36.0,0.008142277789609725,0.011639552312243683,0.017879521994949212,-0.0015949664157297629,0.0067556967043251905,0.009528858874894259
2018-04-06,37.0,0.008233717601814456,0.011742744541213707,0.017992958735977848,-0.0015255235323489366,0.006809673689232167,0.009657761514396745
2018-04-06,38.0,0.008320376832656053,0.011840538204040643,0.0181004558445391,-0.0014597021792269963,0.006860826490190327,0.009779927175121779
2018-04-06,39.0,0.008402615786655868,0.011933341000212141,0.01820246305918386,-0.0013972314858721243,0.006909368468644262,0.009895863104667472
2018-04-06,40.0,0.008480760449605409,0.012021521606962095,0.018299386800821663,-0.0013378659016108456,0.006955492546247274,0.010006028352963544
