0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.18,0.017,0.023,0.027,0.033,0.039,0.038,0.038,0.039,0.04,0.049,0.28,0.62,0.99658,0.99603,0.9968699999999999,3.179,-3.246,-3.564,0.1072,-0.1058,0.0133,-0.1116,-0.0334,0.0785
0.18,0.017,0.023,0.027,0.033,0.039,0.038,0.038,0.039,0.04,0.049,0.28,0.62,0.99648,0.99593,0.9968699999999999,3.179,-3.246,-3.564,0.1072,-0.1058,0.0133,-0.1116,-0.0334,0.0775
0.18,0.017,0.023,0.027,0.033,0.039,0.038,0.038,0.039,0.04,0.049,0.28,0.62,0.99658,0.99603,0.9968699999999999,3.169,-3.246,-3.5440000000000005,0.1072,-0.1058,0.0133,-0.1116,-0.0334,0.0775
0.18,0.017,0.023,0.027,0.033,0.039,0.038,0.038,0.039,0.04,0.049,0.28,0.62,0.99648,0.99593,0.9968699999999999,3.179,-3.246,-3.5440000000000005,0.1072,-0.1058,0.0133,-0.1116,-0.0334,0.0775
0.18,0.017,0.023,0.027,0.033,0.039,0.038,0.038,0.039,0.04,0.05,0.28,0.62,0.99648,0.99593,0.9968699999999999,3.179,-3.246,-3.5440000000000005,0.1072,-0.1058,0.0123,-0.1106,-0.030399999999999996,0.0775
0.18,0.017,0.023,0.027,0.033,0.039,0.038,0.038,0.039,0.04,0.05,0.28,0.62,0.99648,0.99593,0.9968699999999999,3.179,-3.246,-3.5440000000000005,0.1072,-0.1058,0.0123,-0.1106,-0.030399999999999996,0.0775
0.18,0.017,0.023,0.027,0.033,0.039,0.038,0.038,0.039,0.04,0.05,0.28,0.62,0.99648,0.99593,0.9968699999999999,3.179,-3.246,-3.5440000000000005,0.1072,-0.1058,0.0123,-0.1106,-0.030399999999999996,0.0775
0.18,0.017,0.023,0.027,0.033,0.039,0.038,0.038,0.039,0.04,0.05,0.28,0.62,0.99648,0.99593,0.9968699999999999,3.179,-3.246,-3.5440000000000005,0.1072,-0.1058,0.0123,-0.1106,-0.030399999999999996,0.0775
0.18,0.017,0.023,0.027,0.033,0.039,0.038,0.038,0.039,0.04,0.05,0.28,0.62,0.99648,0.99593,0.9968699999999999,3.179,-3.246,-3.5440000000000005,0.1072,-0.1058,0.0123,-0.1106,-0.030399999999999996,0.0775
0.18,0.017,0.023,0.027,0.033,0.039,0.038,0.038,0.039,0.04,0.05,0.28,0.62,0.99648,0.99593,0.9968699999999999,3.179,-3.246,-3.5440000000000005,0.1072,-0.1058,0.0123,-0.1106,-0.030399999999999996,0.0775
0.18,0.017,0.023,0.027,0.033,0.039,0.038,0.038,0.039,0.04,0.05,0.28,0.62,0.99638,0.99583,0.9968699999999999,3.179,-3.236,-3.5440000000000005,0.1072,-0.1058,0.0123,-0.1106,-0.029399999999999996,0.0775
0.18,0.017,0.023,0.027,0.033,0.039,0.038,0.038,0.039,0.04,0.05,0.28,0.62,0.99638,0.99583,0.9968699999999999,3.179,-3.236,-3.5540000000000003,0.1072,-0.1058,0.0123,-0.1106,-0.029399999999999996,0.0775
0.18,0.017,0.023,0.027,0.033,0.039,0.038,0.038,0.039,0.04,0.05,0.28,0.62,0.99638,0.99583,0.9968699999999999,3.179,-3.236,-3.564,0.1072,-0.1058,0.0123,-0.1106,-0.029399999999999996,0.0775
