Maturity,Base Yield,Mean Reversion,Level Up,Level Down,Twist Up-to-Down,Twist Down-to-Up
1.0,-0.0009884375360676987,-0.000993064555089236,-0.0006622638005872581,-0.0013146112715481393,0.00016784076024507332,-0.0021447158323804707
2.0,-0.0007880013093973194,-0.0009025805818312585,0.0005527885419076186,-0.0021287911607022576,0.0011119360411646162,-0.0026879386599592547
3.0,-0.0003914496039356573,-0.0005674726213148271,0.0018098058403113783,-0.002592705048182693,0.0019439162383787466,-0.0027268154462500613
4.0,0.00013654401691774913,-6.504364328148335e-05,0.0030702069196956376,-0.0027971188858601395,0.0026784070042916875,-0.0024053189704561894
5.0,0.00074759960183439,0.0005466201504591651,0.0043070310545314525,-0.0028118318508626727,0.0033280657229870694,-0.0018328665193182896
6.0,0.0014058713536934896,0.0012242442967136398,0.005502044455480825,-0.0026903017480938455,0.003903843903240156,-0.0010921011958531766
7.0,0.0020851210310961618,0.0019359331427820556,0.006643515522869323,-0.002473273460677,0.004415216501679907,-0.0002449744394875837
8.0,0.0027664437743760194,0.002658498958294478,0.007724510016319597,-0.0021916224675675583,0.004870381758926852,0.0006625057898251869
9.0,0.003436504482377692,0.0033753878366425656,0.008741589702230237,-0.0018685807374748532,0.005276434908669835,0.001596574056085549
10.0,0.004086173259843795,0.004075072468112826,0.009693823492826128,-0.0015214769731385384,0.005639518858202028,0.002532827661485562
11.0,0.004709472400513949,0.004749809713993497,0.010582040062989274,-0.0011630952619613765,0.005964954661024362,0.0034539901400035375
12.0,0.005302766226979896,0.005394682848561538,0.011408266591741103,-0.0008027341377813101,0.006257354322881631,0.004348178131078162
13.0,0.005864139948901826,0.0060068656095143644,0.012175310544749594,-0.00044703064694594317,0.006520718212045106,0.005207561685758546
14.0,0.006392925374848547,0.0065850587913946134,0.012886451018165046,-0.00010060026846795116,0.006758519089099713,0.006027331660597381
15.0,0.006889340489945245,0.00712906080851679,0.013545213674064754,0.00023346730582573562,0.006973774534571347,0.006804906445319143
16.0,0.007354217120876361,0.007639442058061395,0.014155209163935204,0.0005532250778175181,0.007169109336195116,0.0075393249055576055
17.0,0.007788796569323693,0.008117299515351204,0.014720019513231498,0.0008575736254158878,0.007346809201932605,0.00823078393671478
18.0,0.008194577534260094,0.008564073174706028,0.01524312050584941,0.0011460345626707795,0.007508866989577417,0.008880288078942773
19.0,0.008573204122704358,0.008981410012789712,0.01572783088147789,0.001418577363930829,0.007657022487964973,0.009489385757443743
20.0,0.00892638447262803,0.00937106433532454,0.016177281313484823,0.001675487631771235,0.007792796647112048,0.01005997229814401
21.0,0.009255832642322962,0.009734825860366331,0.01659439780547168,0.0019172674791742466,0.007917521033565236,0.010594144251080689
22.0,0.009563228085041486,0.010074468840123646,0.016981895437054396,0.002144560733028574,0.008032363181283787,0.011094092988799185
23.0,0.009850188326402835,0.010391717045260332,0.017342279387025972,0.002358097265779697,0.00813834841598019,0.01156202823682548
24.0,0.01011825147386664,0.010688220622637707,0.01767785093005461,0.0025586520176786682,0.008236378650512029,0.012000124297221252
25.0,0.010368865974614517,0.010965541761860209,0.017990716692535203,0.0027470152566938313,0.008327248579272502,0.012410483369956532
26.0,0.010603385649287528,0.011225146824684647,0.018282799904081333,0.0029239713944937224,0.008411659639283914,0.012795111659291142
27.0,0.010823068502571014,0.011468403149069512,0.018555852724628064,0.003090284280513965,0.008490232053693042,0.013155904951448987
28.0,0.011029078177728285,0.01169657917152195,0.01881146898756761,0.0032466873678889605,0.008563515228550419,0.01349464112690615
29.0,0.011222487204500932,0.011910846845037387,0.01905109689574572,0.0033938775132561425,0.008631996735190295,0.013812977673811568
30.0,0.011404281406848895,0.01211228558696642,0.019276051354282456,0.0035325114594153342,0.008696110077384007,0.014112452736313784
31.0,0.01157536500331454,0.01230188718855203,0.01948752573353176,0.003663204273097319,0.008756241413984888,0.014394488592644193
32.0,0.011736566059720503,0.01248056126894424,0.019686602935969296,0.0037865291834717103,0.008812735383375937,0.01466039673606507
33.0,0.011888642050329742,0.012649140971613147,0.019874265699296532,0.0039030184013629527,0.008865900155111666,0.014911383945547817
34.0,0.012032285356439468,0.01280838868836741,0.020051406109901887,0.004013164602977048,0.008916011816225422,0.015148558896653515
35.0,0.012168128586052861,0.012959001661982734,0.020218834330135438,0.0041174228419702825,0.008963318184329907,0.015372938987775815
36.0,0.012296749638980793,0.013101617367694584,0.020377286562790413,0.004216212715171173,0.009008042126505559,0.015585457151456027
37.0,0.012418676471740518,0.013236818610355892,0.020527432289162546,0.004309920654318492,0.009050384451733284,0.015786968491747752
38.0,0.012534391538476098,0.013365138300890813,0.020669880824924138,0.004398902252028058,0.009090526435012373,0.015978256641939824
39.0,0.012644335899790552,0.013487063895105856,0.02080518724220845,0.004483484557372653,0.009128632023077456,0.01616003977650365
40.0,0.012748913002369154,0.01360304149174127,0.02093385770781346,0.004563968296924849,0.0091648497645891,0.01633297624014921
41.0,0.012848492139755769,0.01371347959624205,0.02105635428710183,0.004640629992409707,0.009199314501648808,0.016497669777862732
42.0,0.012943411609517091,0.013818752563163273,0.02117309926159227,0.0047137239574419135,0.009232148854333166,0.016654674364701017
43.0,0.013033981584979929,0.013919203734215676,0.021284479005848435,0.004783484164111422,0.009263464525527417,0.01680449864443244
44.0,0.013120486721277951,0.014015148291328335,0.02139084746639921,0.004850125976156696,0.009293363449557715,0.016947609992998186
45.0,0.013203188515993773,0.014106875845231655,0.021492529282302338,0.0049138477496852104,0.00932193880488152,0.01708443822710603
