Test_Date,Maturity,Base Yield,Level Up,Level Down,Mean Reversion,Twist Up-to-Down,Twist Down-to-Up
2018-04-06,1.0,-0.0013880644902886097,-0.0011777953224964,-0.0015983336571354645,-0.0017330720864114912,-0.0010392087341681844,-0.0017369202460378874
2018-04-06,2.0,-0.0014468967822454104,-0.0005469786811128641,-0.0023468148824743462,-0.0016892032443027727,-0.0008488167650978484,-0.0020449767990441403
2018-04-06,3.0,-0.0013936471800672923,0.00017665686961243487,-0.0029639512290210446,-0.0015199502676641607,-0.000632214097346151,-0.0021550802625401877
2018-04-06,4.0,-0.0012552122901993146,0.0009616173811255457,-0.0034720419608903486,-0.0012568901197130833,-0.00039846048426239733,-0.002111964095938057
2018-04-06,5.0,-0.0010532245094342363,0.001783198456185131,-0.0038896474744611886,-0.0009253185444171308,-0.00015465457174168584,-0.001951794446949151
2018-04-06,6.0,-0.0008050107360312309,0.002622190924540524,-0.004232212396055313,-0.0005454033266995006,9.369157679439688e-05,-0.0017037130486986518
2018-04-06,7.0,-0.0005243823817316917,0.0034638204273906847,-0.004512585190341034,-0.00013313362652855876,0.0003423457071753955,-0.0013911104705526256
2018-04-06,8.0,-0.00022228580505567752,0.004296879822186295,-0.004741451431743093,0.0002988992969443771,0.0005881044445017469,-0.0010326760544111524
2018-04-06,9.0,9.266268118213183e-05,0.005113020415246972,-0.004927695052398429,0.0007408606933201334,0.0008285883539067562,-0.0006432629913739607
2018-04-06,10.0,0.0004137372014085816,0.005906173913773349,-0.005078699510522089,0.0011851459984866253,0.0010620748482539355,-0.00023460044530188018
2018-04-06,11.0,0.0007357415099680242,0.00667208186592716,-0.005200598845583437,0.0016259494809767183,0.0012873622102849147,0.00018412080977503464
2018-04-06,12.0,0.0010547132316247598,0.007407913399854582,-0.005298486936224256,0.0020589112142528343,0.0015036591703274649,0.0006057672930352975
2018-04-06,13.0,0.001367681760070516,0.008111955419415784,-0.0053765918989195916,0.0024808285979829314,0.0017104954501425684,0.0010248680701190338
2018-04-06,14.0,0.0016724703853623346,0.008783362187411603,-0.005438421416346206,0.0028894210310543844,0.0019076494875449601,0.0014372912832991691
2018-04-06,15.0,0.001967534847870045,0.00942195352078845,-0.005486883824725841,0.003283138311739986,0.002095090221113649,0.0018399794747432363
2018-04-06,16.0,0.0022518318659086045,0.010028052721031244,-0.005524388988910722,0.0036610049759433494,0.002272930364511261,0.002230733367418969
2018-04-06,17.0,0.0025247123030012197,0.01060235693221312,-0.005552932325923687,0.004022494140013322,0.0024413890548198314,0.0026080355512931863
2018-04-06,18.0,0.002785834568158174,0.011145833916875292,-0.005574164780279722,0.0043674255374137605,0.002600762135167134,0.0029709070012646777
2018-04-06,19.0,0.003035094611004263,0.011659640311478148,-0.005589451089203057,0.0046958833685866175,0.002751398642425462,0.0033187905796905337
2018-04-06,20.0,0.0032725695100042085,0.012145057308053264,-0.005599918287792827,0.005008150352958873,0.0028936823271672463,0.0036514566929388703
2018-04-06,21.0,0.0034984721789930173,0.012603440438707869,-0.005606496080481582,0.005304655008959269,0.003028017244292469,0.003968927113785714
2018-04-06,22.0,0.0037131151532283635,0.013036180741592407,-0.005609950434905531,0.005585929714593707,0.0031548166273314138,0.004271413679212133
2018-04-06,23.0,0.003916881776851344,0.013444675082921798,-0.005610911529001061,0.00585257753636359,0.003274494402882855,0.004559269150900658
2018-04-06,24.0,0.004110203411787028,0.013830303817940814,-0.005609896994158703,0.00610524617397834,0.0033874588198878897,0.004832948003760995
2018-04-06,25.0,0.004293541534484913,0.014194414309619763,-0.005607331240451985,0.006344607665145663,0.0034941077656991393,0.00509297530334063
2018-04-06,26.0,0.004467373790281615,0.014538309099910718,-0.005603561519160416,0.006571342739648767,0.0035948254207638364,0.005339922159864452
2018-04-06,27.0,0.00463218324304715,0.014863237755005532,-0.005598871268733485,0.006786128913838674,0.0036899799693410618,0.005574386516814744
2018-04-06,28.0,0.004788450196186345,0.015170391591909471,-0.005593491199366474,0.0069896315830209055,0.0037799221374192893,0.005796978255011798
2018-04-06,29.0,0.004936646075119677,0.015460900645884568,-0.005587608495483565,0.0071824975061265395,0.0038649843730536038,0.00600830777723993
2018-04-06,30.0,0.0050772289552656336,0.01573583236285292,-0.005581374452167109,0.007365350189652009,0.003945480520338274,0.00620897739024473
2018-04-06,31.0,0.0053446583329050945,0.016069674437147796,-0.005374054315602006,0.007652255475596226,0.004173610329869959,0.00651616103759034
2018-04-06,32.0,0.005734093250618022,0.016462466700823297,-0.004978145882098994,0.008040235460206935,0.004542761684361629,0.006926590189401116
2018-04-06,33.0,0.0062078991763279134,0.0168953695127263,-0.00445293764924537,0.008498113065696922,0.005009611400273339,0.007408113842696906
2018-04-06,34.0,0.00673859024199408,0.01735426448907096,-0.00384064610454693,0.009002924776509547,0.005542715854365499,0.007937105759834528
2018-04-06,35.0,0.00730595290502678,0.01782855106469139,-0.003171679356719914,0.009537665048556576,0.006119063902489952,0.008496107851189816
2018-04-06,36.0,0.007895062003015596,0.018310272863162336,-0.002468107153760113,0.010089705710720542,0.006721728492933954,0.009072183795486133
2018-04-06,37.0,0.00849488416110633,0.018793475214473165,-0.0017460127291148986,0.010649668267130208,0.007338230635295373,0.009655747488334088
2018-04-06,38.0,0.009097277576704865,0.01927372735102817,-0.0010171239745097038,0.011210606926437716,0.00795937799527957,0.010239716244332175
2018-04-06,39.0,0.009696265140077598,0.019747763633492177,-0.00028996681694171134,0.011767408976646632,0.008578427212706297,0.010818890537567682
