Test_Date,VaR_Portfolio0,VaR_Portfolio1,VaR_Portfolio2,VaR_Portfolio3
2007-03-31,1.5132238858311822,1.9260141347018889,3.183482197892057,5.244129943604925
2007-04-30,1.3789382513018622,1.789490002369116,2.9893744213072275,4.941500473701101
2007-05-31,1.4340158891468653,1.591888989297692,3.0041196211993104,4.960548586278188
2007-06-30,1.338006775475508,1.658093816510572,2.8083054703278294,4.666012950186808
2007-07-31,1.2935583261454064,1.5253371837655172,2.66490573267984,4.398405456324345
2007-08-31,1.168229332532078,1.5129562256689744,2.5133312402936316,4.215052520629375
2007-09-30,1.1844939359152389,1.4082885132231895,2.4097306477784297,4.020380974091445
2007-10-31,1.3758180691267528,1.27896930200381,2.6762528100752787,4.566021054262174
2007-11-30,1.3848656196116353,1.322187063866214,2.603452634957584,4.418412665620336
2007-12-31,1.4089658824391695,1.4102460402337857,2.6816660521617792,4.574764141478237
2008-01-31,1.2621604230276173,1.4135901533479491,2.585116918171258,4.31938074459852
2008-02-29,1.5381964897502929,2.336273211766661,2.178282996688518,3.6774464967635003
2008-03-31,1.5575029803863436,2.450971579274567,2.286080899122006,3.8091518223966427
2008-04-30,1.8043569058144266,2.9440885858468753,2.5075983454168904,4.229554593651382
2008-05-31,1.7084369349438424,2.8185955608848228,2.4034847165413167,4.071006050693696
2008-06-30,1.497279235290274,2.5898168997348514,2.3454922242398766,4.032301575612332
2008-07-31,0.8489796350928996,2.048365160431383,2.717047660267846,4.783760759342894
2008-08-31,0.9111064302613323,1.86794945514444,2.393306990072945,4.2364077641921
2008-09-30,1.0054944300357986,2.16297838288077,2.868489773623524,5.089091593832738
2008-10-31,1.0218141268915897,2.015982642744347,2.9088131875716043,5.141417886556159
2008-11-30,1.15345847597174,1.8438948668813935,3.109465705650109,5.3770109394901615
2008-12-31,1.0986411992377465,2.0068833263414634,3.1571168678985377,5.540686867934968
2009-01-31,1.2152774359669958,2.2424817605494423,3.6078473423269015,6.311255793441664
2009-02-28,1.2298511039509683,1.8833794456288124,3.0088429449274092,5.335085959012224
2009-03-31,1.2635957049871873,1.9342807290660033,3.1101480821216274,5.535598157902777
2009-04-30,1.2145787736020217,1.9072996393630695,2.9750603050620805,5.2915505775670235
2009-05-31,1.1957277064511629,1.8207557145016753,2.9656222588745877,5.257811568368837
2009-06-30,1.115233677204853,1.5376976811925385,2.7360264244023242,4.7533338954653725
2009-07-31,1.1196344022144706,1.5400079626272636,2.745572524929348,4.86049734215884
2009-08-31,1.0185865347363936,1.514397654655045,2.552933022083542,4.444543905170329
2009-09-30,0.988206217537993,1.8243354862226806,2.720875879178243,4.7659994389993345
2009-10-31,0.9436538165832568,1.7492914212798414,2.5295084741500053,4.404672916909172
2009-11-30,0.908121440873872,1.7670257578711368,2.5424097993173396,4.491224008367959
2009-12-31,0.9225745552742168,1.8681094056879668,2.4311743670810655,4.338870254018756
2010-01-31,0.9465087857087052,1.6868681261048966,2.3465307551411363,4.141238358048408
2010-02-28,0.8531011728963864,1.506423746639068,1.6493459021039334,2.8408305521718065
2010-03-31,1.086372429028587,1.9688002605102373,1.813297558063725,3.16447371957568
2010-04-30,1.0016339952710622,1.8116342626622763,1.7172795556971316,2.9987582360785807
2010-05-31,0.9677430124352613,1.626882930616772,1.7362619688216723,2.99778976963353
2010-06-30,0.9950087294222971,1.6575661899259835,1.7200747986446856,2.953268660896342
2010-07-31,1.0005228972181635,1.8150957965813113,1.9201357147679474,3.3106120694152232
2010-08-31,1.1263521852875271,2.354652751210726,2.2950999580753693,3.9509626715392963
2010-09-30,1.0959788826871215,2.3567098182037305,2.476930152098978,4.304647310126391
2010-10-31,1.2590447280518853,2.267603914911114,2.310943812830002,3.973947267155343
2010-11-30,1.4540245576624364,2.221001637120838,1.9964543854794718,3.4646461053199658
2010-12-31,1.2246313188244442,1.9263552007326439,1.8050563706641651,3.0942242892832703
2011-01-31,1.2483786009628346,1.7550116934829083,1.736374998944401,2.939994632223032
2011-02-28,1.45067032149429,1.966509724820107,1.5159396440005735,2.5367078254528432
2011-03-31,1.1660828403938814,1.5911255409476162,1.4588019950041022,2.4426546716781177
2011-04-30,1.1605924484074401,1.7545454049748304,1.4764472313490444,2.5454028793178827
2011-05-31,1.0259618019069117,1.7586008379152172,1.6723558342560259,2.909061340946244
2011-06-30,1.0068211382991925,1.7945585192452946,1.7274854059410165,2.942322607076288
2011-07-31,0.9515076485394901,1.7685964366637767,1.770967190098937,3.1000272083046347
2011-08-31,0.9522447149667024,1.76736795898134,1.8830350917964565,3.282933574240759
2011-09-30,0.8827429694547234,1.7714610143363994,1.8559292236526281,3.2292664871074046
2011-10-31,0.8926192145605022,1.6549104711733362,1.7812460548628364,3.0615308786984206
2011-11-30,0.860063135271064,1.6738207547304635,1.7420527483899102,3.0468804447886435
2011-12-31,0.8104380353954376,1.6049018245981381,1.6693095875811081,2.8831119544326094
2012-01-31,0.8556133068964813,1.5889644866781902,1.6938552738041457,2.9255258474451438
2012-02-29,0.7371129393785067,1.3371608080242787,1.343763108198663,2.358548575611046
